#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Histoplasma capsulatum var. capsulatum Tmu	1226784	PRJNA173806	173806	Fungi	Ascomycetes	46.124	-	GCA_000313325.1	-	-	-	AMXR01	-	-	-	2012/11/19	2014/08/11	Contig	Taipei Medical University	SAMN02981464
Drosophila ananassae	7217	PRJNA12651	12651	Animals	Insects	230.993	42.5	GCA_000005115.1	-	-	-	AAPP01	13749	15614	21191	2006/04/11	2015/10/16	Scaffold	Agencourt Bioscience Corporation	SAMN02953648
Neospora caninum Liverpool	572307	PRJEA37771	37771	Protists	Apicomplexans	57.5474	54.8511	GCA_000208865.2	14	-	-	-	14	7084	6936	2011/03/02	2015/02/27	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272006
Leishmania infantum JPCM5	435258	PRJNA12658	12658	Protists	Kinetoplasts	32.1221	59.5663	GCA_000002875.2	36	-	-	CACT01	76	8366	8150	2007/04/04	2011/11/03	Chromosome	The Sanger Institute	SAMEA3138175
Drosophila erecta	7220	PRJNA12661	12661	Animals	Insects	152.712	42.6	GCA_000005135.1	-	-	-	AAPQ01	5124	14627	19592	2006/04/11	2015/11/02	Scaffold	Agencourt Bioscience Corporation	SAMN02953649
Drosophila willistoni	7260	PRJNA12664	12664	Animals	Insects	235.516	37.8	GCA_000005925.1	-	-	-	AAQB01	14838	14617	15182	2006/04/21	2015/11/03	Scaffold	J. Craig Venter Institute	SAMN02953653
Caenorhabditis japonica	281687	PRJNA12591	12591	Animals	Roundworms	166.256	39.9	GCA_000147155.1	-	-	-	ABLE03	18817	-	-	2008/04/03	2014/08/06	Scaffold	Washington University (WashU)	SAMN02953724
Caenorhabditis remanei	31234	PRJNA12588	12588	Animals	Roundworms	145.443	38.5	GCA_000149515.1	-	-	-	AAGD02	3670	32412	31476	2005/02/09	2014/08/04	Scaffold	The Caenorhabditis remanei Sequencing Consortium	SAMN00627085
Caenorhabditis brenneri	135651	PRJNA20035	20035	Animals	Roundworms	190.37	39.7	GCA_000143925.2	-	-	-	ABEG02	3305	32215	30670	2007/07/17	2014/08/06	Scaffold	The Caenorhabditis brenneri Sequencing and Analysis Consortium	SAMN02953693
Blastomyces dermatitidis ATCC 18188	653446	PRJNA39265	39265	Fungi	Ascomycetes	73.6338	37.6	GCA_000151595.1	-	-	-	ADMK01	4160	10448	11443	2010/03/24	2015/07/17	Scaffold	Broad Institute	SAMN02981258
Blastomyces dermatitidis ATCC 26199	447095	PRJNA39263	39263	Fungi	Ascomycetes	71.5153	37.1	GCA_000166155.1	-	-	-	AEII01	3282	9491	11211	2010/11/05	2014/08/11	Scaffold	Broad Institute	SAMN02981284
Blastomyces dermatitidis ATCC 18187	946394	PRJNA61999	61999	Fungi	Ascomycetes	61.1344	37.8	GCA_000301155.1	-	-	-	AJJV01	29569	-	-	2012/10/01	2014/08/11	Scaffold	Broad Institute	SAMN02981411
Drosophila grimshawi	7222	PRJNA12678	12678	Animals	Insects	200.468	38.8	GCA_000005155.1	-	-	-	AAPT01	17440	15544	14986	2006/04/11	2014/08/06	Scaffold	Agencourt Bioscience Corporation	SAMN02953650
Trichomonas vaginalis G3	412133	PRJNA16084	16084	Protists	Other Protists	176.42	32.9	GCA_000002825.1	-	-	-	AAHC01	64769	60143	59679	2005/05/25	2014/08/06	Scaffold	TIGR	SAMN02953626
Drosophila mojavensis	7230	PRJNA12682	12682	Animals	Insects	193.826	40.2	GCA_000005175.1	-	-	-	AAPU01	6841	14470	20110	2006/04/11	2015/11/03	Scaffold	Agencourt Bioscience Corporation	SAMN02953651
Meloidogyne hapla	6305	PRJNA29083	29083	Animals	Roundworms	53.013	27.4	GCA_000172435.1	-	-	-	ABLG01	3450	-	-	2008/09/29	2014/08/01	Contig	Center for the Biology of Nematode Parasitism, NCSU	SAMN02743742
Drosophila virilis	7244	PRJNA12688	12688	Animals	Insects	206.027	40.7	GCA_000005245.1	-	-	-	AANI01	13530	14717	20548	2006/04/11	2015/11/03	Scaffold	Agencourt Bioscience Corporation	SAMN02953641
Drosophila virilis	7244	PRJNA41283	41283	Animals	Insects	1.25535	37.3	GCA_000004125.1	1	-	-	-	1	81	81	2009/11/06	2012/12/18	Chromosome	Washington University, Department of Biology	-
Naegleria gruberi	5762	PRJNA14010	14010	Protists	Other Protists	40.9641	35	GCA_000004985.1	-	-	-	ACER01	784	16620	15711	2009/12/23	2014/08/06	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953745
Drosophila persimilis	7234	PRJNA12705	12705	Animals	Insects	188.374	45.2	GCA_000005195.1	-	-	-	AAIZ01	12838	17479	16878	2005/09/28	2014/08/06	Scaffold	Broad Institute	SAMN02953632
Drosophila sechellia	7238	PRJNA12711	12711	Animals	Insects	166.592	42.4982	GCA_000005215.1	-	1	-	AAKO01	14731	17135	16484	2005/09/28	2014/08/06	Scaffold	Broad Institute	SAMN02953639
Paramecium tetraurelia	5888	PRJNA18363	18363	Protists	Other Protists	72.0945	28.2	GCA_000165425.1	-	-	-	CAAL01	697	39581	39580	2006/10/30	2011/07/05	Scaffold	Genoscope	SAMEA3138302
Meyerozyma guilliermondii ATCC 6260	294746	PRJNA12729	12729	Fungi	Ascomycetes	10.61	43.8	GCA_000149425.1	-	-	-	AAFM01	9	6062	5920	2005/03/17	2014/08/06	Scaffold	Broad Institute	SAMN02953607
Acanthamoeba castellanii	5755	PRJNA20303	20303	Protists	Other Protists	46.7146	58.3	GCA_000193105.1	-	-	-	AEYA01	1521	-	-	2011/03/17	2014/08/04	Scaffold	Baylor College of Medicine	SAMN00000060
Acanthamoeba castellanii str. Neff	1257118	PRJNA66753	66753	Protists	Other Protists	42.0198	57.8	GCA_000313135.1	-	-	-	AHJI01	384	15655	14974	2012/11/14	2014/08/06	Scaffold	JCVI	SAMN02953809
Perkinsus marinus ATCC 50983	423536	PRJNA12737	12737	Protists	Other Protists	86.6051	47.4	GCA_000006405.1	-	-	-	AAXJ01	17897	25182	23654	2007/02/27	2014/08/06	Scaffold	TIGR	SAMN02953677
Meloidogyne incognita	6306	PRJEA28837	28837	Animals	Roundworms	82.095	31.4	GCA_000180415.1	-	-	-	CABB01	9538	-	-	2008/09/09	2008/09/09	Contig	Genoscope - CEA	SAMEA2272339
Clavispora lusitaniae ATCC 42720	306902	PRJNA12753	12753	Fungi	Ascomycetes	12.1149	44.5	GCA_000003835.1	-	-	-	AAFT01	9	6133	5936	2005/03/16	2014/08/06	Scaffold	Broad Institute	SAMN02953613
Clavispora lusitaniae MTCC 1001	1314667	PRJNA195921	195921	Fungi	Ascomycetes	11.9685	44.5	GCA_000410855.1	-	-	-	APWW01	163	-	-	2013/06/13	2014/08/11	Contig	Institute of Microbial Technology	SAMN02981525
Petromyzon marinus	7757	PRJNA12880	12880	Animals	Fishes	885.535	46.8	GCA_000148955.1	-	-	-	AEFG01	25005	-	-	2010/09/30	2014/08/11	Scaffold	Washington University (WashU)	SAMN02981275
Daphnia pulex	6669	PRJNA12756	12756	Animals	Other Animals	197.206	42.4	GCA_000187875.1	-	-	-	ACJG01	5186	30612	30611	2011/02/03	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02744063
Phytophthora infestans T30-4	403677	PRJNA17665	17665	Protists	Other Protists	228.544	50.6	GCA_000142945.1	-	-	-	AATU01	4921	19150	17797	2006/11/15	2014/08/06	Scaffold	Broad Institute	SAMN02953670
Blastocystis hominis	12968	PRJEA45923	45923	Protists	Other Protists	18.8172	45.3	GCA_000151665.1	-	-	-	CABX01	54	6020	6020	2010/07/02	2010/07/02	Scaffold	Genoscope - Institut de Genomique - CEA	SAMEA2272370
Chaetomium globosum CBS 148.51	306901	PRJNA12795	12795	Fungi	Ascomycetes	34.8869	55.4	GCA_000143365.1	-	-	-	AAFU01	37	11228	11048	2005/03/14	2014/08/06	Scaffold	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02953614
Coccidioides immitis H538.4	396776	PRJNA17355	17355	Fungi	Ascomycetes	27.7811	46.9	GCA_000149815.1	-	-	-	AASO01	556	10723	10593	2006/09/22	2015/07/13	Scaffold	Broad Institute	SAMN02953661
Coccidioides immitis RMSCC 2394	404692	PRJNA17713	17713	Fungi	Ascomycetes	28.9084	46.2	GCA_000149895.1	-	-	-	AATX01	31	10524	10408	2006/11/02	2015/07/13	Scaffold	Broad Institute	SAMN02953671
Coccidioides immitis RMSCC 3703	454286	PRJNA17761	17761	Fungi	Ascomycetes	27.7088	47	GCA_000150085.1	-	-	-	ABBC01	289	10538	10463	2007/07/12	2015/07/13	Scaffold	Broad Institute	SAMN02953689
Lodderomyces elongisporus NRRL YB-4239	379508	PRJNA12899	12899	Fungi	Ascomycetes	15.5473	37	GCA_000149685.1	-	-	-	AAPO01	28	5908	5799	2006/08/10	2014/08/06	Scaffold	Broad Institute	SAMN02953647
Trichoderma reesei QM6a	431241	PRJNA15571	15571	Fungi	Ascomycetes	33.3957	52.8	GCA_000167675.2	-	-	-	AAIL02	77	9120	9115	2005/08/04	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02746107
Uncinocarpus reesii 1704	336963	PRJNA15634	15634	Fungi	Ascomycetes	22.3497	48.6	GCA_000003515.2	-	-	-	AAIW01	45	7856	7760	2005/09/13	2014/08/06	Scaffold	Broad Institute	SAMN02953631
Pongo abelii	9601	PRJNA20869	20869	Animals	Mammals	3441.24	41.5894	GCF_000001545.4	24	1	-	ABGA01	79342	32434	37509	2007/11/14	2014/08/11	Chromosome	Orangutan Genome Sequencing Consortium	SAMN02981238
Pongo abelii	9601	PRJNA18245	18245	Animals	Mammals	2.35168	41.3	GCA_000167535.2	-	-	-	AAGM01	3773	-	-	2006/11/09	2014/08/11	Contig	Fritz Lipmann Institute (former Institute of Molecular Biotechnology, IMB)	SAMN02981221
Allomyces macrogynus ATCC 38327	578462	PRJNA20563	20563	Fungi	Other Fungi	57.0606	60.5	GCA_000151295.1	-	-	-	ACDU01	101	19131	19446	2010/01/21	2015/07/31	Scaffold	Broad Institute	SAMN02953744
Ichthyophthirius multifiliis	5932	PRJNA49999	49999	Protists	Other Protists	48.8	15.95	GCA_000220395.1	1	-	-	AEDN01	2017	16426	16112	2011/07/11	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953779
Scheffersomyces stipitis CBS 6054	322104	PRJNA16843	16843	Fungi	Ascomycetes	15.4412	41.1534	GCA_000209165.1	8	-	-	AAVQ01	8	5816	5816	2007/02/23	2010/12/23	Chromosome	DOE Joint Genome Institute	SAMN02746101
Komagataella pastoris DSMZ 70382	638632	PRJNA36683	36683	Fungi	Ascomycetes	9.40545	41.3	GCA_000182785.1	-	-	-	CABH01	326	-	-	2009/06/05	2014/09/27	Contig	Institute for Applied Microbiology, University of Natural Ressources and Applied Life Sciences, Vienna, Austria	SAMEA3138313
Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459	PRJNA18535	18535	Fungi	Basidiomycetes	88.7244	43.8	GCA_000149925.1	-	-	-	AAWC01	393	16304	15979	2007/01/22	2014/08/04	Scaffold	Broad Institute	SAMN00013043
Saccharomyces pastorianus CCY48 - 91	1214527	PRJNA169496	169496	Fungi	Ascomycetes	24.2085	41.6	GCA_000287895.1	-	-	-	ALJS01	2425	-	-	2012/08/15	2014/08/04	Contig	Institute of Chemical Technology Prague	SAMN01129889
Saccharomyces pastorianus Weihenstephan 34/70	520522	PRJNA29791	29791	Fungi	Ascomycetes	22.3821	39.1	GCA_000182115.1	-	-	-	ABPO01	3566	-	-	2009/03/11	2014/08/06	Scaffold	SUNTORY LIMITED (Japan)	SAMN02953726
Schizophyllum commune H4-8	578458	PRJNA32757	32757	Fungi	Basidiomycetes	38.482	57.4	GCA_000143185.1	-	-	-	ADMJ01	36	13190	13194	2010/07/01	2014/05/05	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02194201
Ascaris suum	6253	PRJNA80881	80881	Animals	Roundworms	269.56	38.2	GCA_000298755.1	-	-	-	AMPH01	12988	-	-	2012/09/18	2013/11/01	Scaffold	Beijing Genomics Institute 	SAMN00769978
Ascaris suum	6253	PRJNA62057	62057	Animals	Roundworms	248.426	37.9	GCA_000331935.2	-	-	-	ANBK01	15482	-	-	2013/01/16	2013/01/17	Scaffold	Department of Biochemistry and Molecular Genetics, University of Colorado School of Medicine	SAMN01096044
Ascaris suum	6253	PRJNA62057	62057	Animals	Roundworms	262.594	37.9	GCA_000187025.2	-	-	-	AEUI02	19470	14815	9213	2011/01/28	2014/08/06	Scaffold	Department of Biochemistry and Molecular Genetics, University of Colorado School of Medicine	SAMN02953788
Lactuca sativa	4236	PRJNA68025	68025	Plants	Land Plants	1133.66	-	GCA_000227445.1	-	-	-	AFSA01	-	-	-	2011/10/04	2014/08/04	Contig	Compositae Genome Project	SAMN00727718
Trichoplax adhaerens	10228	PRJNA12874	12874	Animals	Other Animals	105.632	34.5	GCA_000150275.1	-	-	-	ABGP01	1414	11518	11520	2008/06/13	2014/08/06	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953699
Hydra vulgaris	6087	PRJNA12876	12876	Animals	Other Animals	852.171	29.0999	GCA_000004095.1	-	2	-	ACZU01	20916	22202	21993	2008/07/29	2011/11/03	Scaffold	JCVI	SAMN00000081
Biomphalaria glabrata	6526	PRJNA12879	12879	Animals	Other Animals	916.388	36.2	GCA_000457365.1	-	-	-	APKA01	331401	28551	36662	2013/08/09	2014/08/06	Scaffold	Washington University (WashU)	SAMN02953846
Malus domestica	3750	PRJNA28845	28845	Plants	Land Plants	1874.77	45.3151	GCA_000148765.2	17	1	-	ACYM01	1667	57263	57468	2010/09/03	2014/08/11	Chromosome	IASMA research center	SAMN02981243
Aspergillus flavus NRRL3357	332952	PRJNA13284	13284	Fungi	Ascomycetes	36.8923	48.3	GCA_000006275.2	-	-	-	AAIH02	331	13485	13485	2005/08/01	2015/06/02	Scaffold	J. Craig Venter Institute	SAMN02953629
Cryptococcus gattii WM276	367775	PRJNA13692	13692	Fungi	Basidiomycetes	18.3748	47.8782	GCA_000185945.1	14	-	-	-	14	6580	6565	2011/01/12	2014/10/01	Chromosome	Canada's Michael Smith Genome Sciences Centre	SAMN03081419
Taeniopygia guttata	59729	PRJNA17289	17289	Animals	Birds	1232.14	41.4526	GCA_000151805.2	35	1	-	ABQF01	37422	17357	19447	2008/09/03	2014/08/11	Chromosome	Washington University Genome Sequencing Center	SAMN02981239
Oikopleura dioica	34765	PRJEA42427	42427	Animals	Other Animals	70.4715	40.2	GCA_000209535.1	-	-	-	CABV01	1260	17211	17152	2010/12/01	2010/12/01	Scaffold	Genoscope - Institut de Genomique - CEA	SAMEA2272014
Oikopleura dioica	34765	PRJEA42427	42427	Animals	Other Animals	45.1412	40.3	GCA_000209555.1	-	-	-	CABW01	4196	13526	13505	2010/12/01	2010/12/01	Scaffold	Genoscope - Institut de Genomique - CEA	SAMEA2272403
Entamoeba dispar SAW760	370354	PRJNA12914	12914	Protists	Other Protists	30.6332	24.1	GCA_000209125.2	-	-	-	AANV02	12258	8814	8811	2006/02/11	2014/08/06	Scaffold	TIGR	SAMN02953643
Ostreococcus tauri	70448	PRJNA12912	12912	Plants	Green Algae	12.5723	59.2119	GCA_000214015.1	20	2	-	CAID01	22	15782	15656	2010/10/15	2013/07/17	Chromosome	Laboratoire Arago, France	SAMEA3138397
Entamoeba invadens IP1	370355	PRJNA12926	12926	Protists	Other Protists	40.8783	30.3	GCA_000330505.1	-	-	-	AANW03	1144	12007	11997	2006/02/11	2014/08/06	Scaffold	TIGR	SAMN02953644
Physcomitrella patens	3218	PRJNA13064	13064	Plants	Land Plants	477.948	34.2999	GCA_000002425.1	-	2	-	ABEU01	1990	36002	35934	2007/11/27	2014/08/01	Scaffold	Moss Genome Consortium	SAMN00120126
Prunus persica	3760	PRJNA31227	31227	Plants	Land Plants	227.252	37.6	GCA_000346465.1	-	-	-	AKXU01	202	28087	28927	2013/03/14	2014/08/11	Scaffold	JGI	SAMN02981429
Prunus persica	3760	PRJNA54011	54011	Plants	Land Plants	214.225	37.5	GCA_000218175.1	-	-	-	AEJG01	30834	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115266
Prunus persica	3760	PRJNA54015	54015	Plants	Land Plants	211.308	37.2	GCA_000218195.1	-	-	-	AEKW01	35219	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115268
Prunus persica	3760	PRJNA54013	54013	Plants	Land Plants	207.185	37.5	GCA_000218215.1	-	-	-	AEKV01	43890	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115267
Culex quinquefasciatus	7176	PRJNA18751	18751	Animals	Insects	579.042	38.1	GCA_000209185.1	-	-	-	AAWU01	3171	22416	18883	2007/04/19	2014/08/06	Scaffold	Broad Institute	SAMN02953674
Solanum tuberosum	4113	PRJNA63145	63145	Plants	Land Plants	705.934	35.6005	GCA_000226075.1	-	1	-	AEWC01	14854	33410	37966	2011/05/24	2014/08/11	Scaffold	Potato Genome Sequencing Consortium	SAMN02981305
Galdieria sulphuraria	130081	PRJNA13023	13023	Other	Other	13.712	37.9	GCA_000341285.1	-	-	-	ADNM02	433	6723	7174	2013/01/08	2014/08/04	Scaffold	Galdieria sulphuraria Genome Project	SAMN00011278
Ostreococcus lucimarinus CCE9901	436017	PRJNA13044	13044	Plants	Green Algae	13.2049	60.4431	GCA_000092065.1	21	-	-	-	21	7640	7603	2007/04/10	2014/10/01	Complete Genome	US DOE Joint Genome Institute	SAMN03081420
Selaginella moellendorffii	88036	PRJNA13078	13078	Plants	Land Plants	212.502	45.3	GCA_000143415.2	-	-	-	ADFJ01	758	34781	34747	2010/06/24	2014/08/11	Scaffold	Selaginella Consortium	SAMN02981255
Volvox carteri f. nagariensis	3068	PRJNA13109	13109	Plants	Green Algae	137.684	55.3	GCA_000143455.1	-	-	-	ACJH01	1251	14437	14436	2010/07/06	2014/08/06	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953753
Phaeodactylum tricornutum CCAP 1055/1	556484	PRJNA13152	13152	Other	Other	27.4507	48.8432	GCA_000150955.2	33	-	-	ABQD01	88	10398	10408	2008/10/10	2009/05/06	Chromosome	Diatom Consortium	SAMN02953727
Candida dubliniensis CD36	573826	PRJEA34697	34697	Fungi	Ascomycetes	14.6184	33.2489	GCA_000026945.1	8	-	-	-	8	6095	5860	2009/02/16	2015/02/27	Complete Genome	Wellcome Trust Sanger Institute	SAMEA2272258
Cryptosporidium hominis	237895	PRJNA13200	13200	Protists	Apicomplexans	8.74357	30.9	GCA_000006425.1	-	-	-	AAEL01	1422	3949	3885	2004/10/27	2014/08/05	Contig	Virginia Commonwealth University	-
Aspergillus niger ATCC 1015	380704	PRJNA15785	15785	Fungi	Ascomycetes	34.8533	50.3	GCA_000230395.2	-	-	-	ACJE01	24	10947	10950	2011/10/12	2014/08/06	Contig	DOE Joint Genome Institute	SAMN02953752
Aureococcus anophagefferens	44056	PRJNA13500	13500	Protists	Other Protists	56.6606	67.4	GCA_000186865.1	-	-	-	ACJI01	1185	11522	11520	2011/01/26	2014/09/04	Scaffold	DOE Joint Genome Institute	SAMN02953754
Callithrix jacchus	9483	PRJNA20401	20401	Animals	Mammals	2914.96	41.3414	GCA_000004665.1	24	-	-	ACFV01	16399	34856	44212	2010/01/21	2014/08/11	Chromosome	Washington University (WashU)	SAMN02981242
Aplysia californica	6500	PRJNA13635	13635	Animals	Other Animals	927.31	41.9999	GCA_000002075.2	-	1	-	AASC03	4332	21325	27608	2006/08/17	2014/08/06	Scaffold	Broad Institute	SAMN02953658
Schizosaccharomyces octosporus yFS286	483514	PRJNA13639	13639	Fungi	Ascomycetes	11.6345	37.9	GCA_000150505.2	-	-	-	ABHY03	5	5338	4986	2007/12/12	2014/08/06	Scaffold	Broad Institute	SAMN02953709
Batrachochytrium dendrobatidis JEL423	403673	PRJNA13653	13653	Fungi	Other Fungi	23.8977	39.4	GCA_000149865.1	-	-	-	AATT01	70	-	-	2006/10/20	2014/08/06	Scaffold	Broad Institute	SAMN02953669
Batrachochytrium dendrobatidis JAM81	684364	PRJNA41157	41157	Fungi	Other Fungi	24.3151	39.3	GCA_000203795.1	-	-	-	ADAR01	127	8700	8700	2011/04/07	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02746048
Acyrthosiphon pisum	7029	PRJNA13657	13657	Animals	Insects	541.692	31.1995	GCA_000142985.2	-	1	-	ABLF02	23925	18736	23103	2008/04/01	2014/08/04	Scaffold	Baylor College of Medicine	SAMN00000061
Otolemur garnettii	30611	PRJNA16955	16955	Animals	Mammals	2519.72	41.5	GCA_000181295.3	-	-	-	AAQR03	7793	25777	26925	2006/06/02	2014/08/11	Scaffold	Broad Institute	SAMN02981229
Zymoseptoria tritici IPO323	336722	PRJNA19047	19047	Fungi	Ascomycetes	39.6863	52.1368	GCA_000219625.1	21	-	-	ACPE01	21	10964	10963	2011/06/22	2014/08/04	Chromosome	DOE Joint Genome Institute	SAMN02746078
Zymoseptoria tritici STIR04 A48b	985138	PRJNA63029	63029	Fungi	Ascomycetes	31.7941	53.6	GCA_000223625.2	-	-	-	AEYQ01	940	-	-	2011/08/08	2014/08/11	Contig	University of Aarhus, Bioinformatics Research Center	SAMN02981317
Zymoseptoria tritici STIR04_A26b	983958	PRJNA62705	62705	Fungi	Ascomycetes	32.6413	53.5	GCA_000223645.2	-	-	-	AFIP01	1154	-	-	2011/08/08	2014/08/11	Contig	University of Aarhus, Bioinformatics Research Center	SAMN02981321
Parastagonospora nodorum SN15	321614	PRJNA13754	13754	Fungi	Ascomycetes	37.214	50.3719	GCA_000146915.2	-	1	-	AAGI01	108	16122	16002	2005/04/04	2014/08/06	Scaffold	Broad Institute	SAMN02953619
Ictidomys tridecemlineatus	43179	PRJNA61725	61725	Animals	Mammals	2478.39	40.5	GCA_000236235.1	-	-	-	AGTP01	12483	24532	29828	2011/11/25	2013/11/01	Scaffold	Broad Institute	SAMN00210855
Ictidomys tridecemlineatus	43179	PRJNA13937	13937	Animals	Mammals	1913.37	-	GCA_000181315.1	-	-	-	AAQQ01	-	-	-	2006/06/06	2014/08/21	Contig	The Genome Sequencing Platform, The Genome Assembly Team	SAMN03000702
Tupaia belangeri	37347	PRJNA13971	13971	Animals	Mammals	2137.23	-	GCA_000181375.1	-	-	-	AAPY01	-	-	-	2006/06/08	2014/08/26	Contig	Broad Institute	SAMN03004381
Nomascus leucogenys	61853	PRJNA13975	13975	Animals	Mammals	2962.06	41.3958	GCA_000146795.3	26	-	-	ADFV01	17524	28462	38654	2010/08/31	2014/09/05	Chromosome	Gibbon Genome Sequencing Consortium	SAMN02981257
Heterorhabditis bacteriophora	37862	PRJNA13977	13977	Animals	Roundworms	76.9743	33.9	GCA_000223415.1	-	-	-	ACKM01	1240	-	-	2011/08/16	2014/08/06	Scaffold	Washington University Genome Sequencing Center	SAMN02953756
Sclerotinia sclerotiorum 1980 UF-70	665079	PRJNA15530	15530	Fungi	Ascomycetes	38.5328	41.8	GCA_000146945.1	-	-	-	AAGT01	39	14637	14446	2005/09/19	2014/08/06	Scaffold	Broad Institute	SAMN02953621
Fusarium verticillioides 7600	334819	PRJNA15553	15553	Fungi	Ascomycetes	41.8851	48.6688	GCA_000149555.1	11	-	-	AAIM02	39	16228	20553	2005/10/18	2015/03/11	Chromosome	Broad Institute	SAMN02953630
Arabidopsis lyrata subsp. lyrata	81972	PRJNA41137	41137	Plants	Land Plants	206.668	37.6	GCA_000004255.1	-	-	-	ADBK01	695	32534	32549	2009/11/30	2014/08/11	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02981250
Botrytis cinerea B05.10	332648	PRJNA15632	15632	Fungi	Ascomycetes	42.7438	43.5	GCA_000143535.1	-	-	-	AAID01	589	16584	16389	2005/10/18	2014/08/06	Scaffold	Syngenta Biotechnology, Inc.	-
Botrytis cinerea T4	999810	PRJNA162725	162725	Fungi	Ascomycetes	41.6129	42.5	GCA_000292645.1	-	-	-	ALOC01	56	-	-	2012/08/21	2014/08/11	Scaffold	Wageningen University	SAMN02981443
Botrytis cinerea BcDW1	1290391	PRJNA188482	188482	Fungi	Ascomycetes	42.1323	42	GCA_000349525.1	-	-	-	AORW01	454	11028	11028	2013/03/28	2013/05/31	Scaffold	UC Davis	SAMN01910430
Botrytis cinerea T4	999810	PRJNA64593	64593	Fungi	Ascomycetes	39.5114	43.5	GCA_000227075.1	-	-	-	-	118	16353	16353	-	-	Scaffold	Genoscope	-
Capsella rubella	81985	PRJNA13878	13878	Plants	Land Plants	133.064	35.9	GCA_000375325.1	-	-	-	ANNY01	773	26776	28713	2013/04/19	2014/08/11	Scaffold	DOE Joint Genome Institute	SAMN02981483
Aspergillus clavatus NRRL 1	344612	PRJNA15664	15664	Fungi	Ascomycetes	27.8594	49.2	GCA_000002715.1	-	-	-	AAKD03	143	9323	9121	2005/09/09	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953636
Neosartorya fischeri NRRL 181	331117	PRJNA15672	15672	Fungi	Ascomycetes	31.77	49.5	GCA_000149645.2	-	-	-	AAKE03	438	10599	10395	2005/09/09	2014/08/06	Scaffold	TIGR	SAMN02953637
Hevea brasiliensis	3981	PRJNA80191	80191	Plants	Land Plants	1301.4	36.3	GCA_000340545.1	-	-	-	AJJZ01	1150326	-	-	2013/02/06	2014/08/26	Scaffold	Centre for Chemical Biology (CCB@USM)	SAMN03004386
Carica papaya	3649	PRJNA20267	20267	Plants	Land Plants	369.782	39	GCA_000150535.1	-	-	-	ABIM01	17764	-	-	2008/04/23	2014/08/06	Scaffold	The Papaya Genome Sequencing Consortium	SAMN02953710
Pediculus humanus corporis	121224	PRJNA16223	16223	Animals	Insects	110.781	27.9	GCA_000006295.1	-	-	-	AAZO01	1882	10988	10775	2007/04/18	2014/08/06	Scaffold	The human body louse genome consortium	SAMN02953682
Ixodes scapularis	6945	PRJNA16232	16232	Animals	Other Animals	1765.38	46	GCA_000208615.1	-	-	-	ABJB01	369492	24163	20467	2008/01/16	2015/04/16	Scaffold	Ixodes scapularis Genome Project	SAMN03004382
Aspergillus oryzae 3.042	1160506	PRJNA88495	88495	Fungi	Ascomycetes	36.5765	48.2824	GCA_000269785.2	-	1	-	AKHY01	226	11639	11397	2012/06/18	2014/08/11	Contig	Tianjin University of Science & Technology	SAMN02981419
Aspergillus oryzae AS 3.951	1163405	PRJNA89727	89727	Fungi	Ascomycetes	36.3336	48.3	GCA_000278405.1	-	-	-	AKXN01	969	-	-	2012/07/16	2014/08/11	Contig	South China University of Technology 	SAMN02981428
Aspergillus oryzae AS 3.863	1167532	PRJNA138081	138081	Fungi	Ascomycetes	36.4076	48.3	GCA_000278425.1	-	-	-	AKXL01	962	-	-	2012/07/16	2014/08/11	Contig	South China University of Technology 	SAMN02981427
Aspergillus oryzae RIB326	1146887	PRJDB45	170976	Fungi	Ascomycetes	35.4264	48.4	GCA_000320905.1	-	-	-	BAEZ01	200	-	-	2012/07/19	2015/10/15	Contig	National Institute of Advanced Industrial Science and Technology (AIST)	SAMD00036612
Nectria haematococca mpVI 77-13-4	660122	PRJNA16586	16586	Fungi	Ascomycetes	51.2865	50.8	GCA_000151355.1	-	-	-	ACJF01	209	15708	15708	2009/08/24	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02746079
