#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Bacillus thuringiensis serovar kurstaki HD 1i	Bacteria	Terrabacteria group	Firmicutes	unnamed11	NZ_CP010009.1	CP010009	8.279	29.762	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki HD 1i	Bacteria	Terrabacteria group	Firmicutes	unnamed13	NZ_CP010011.1	CP010011	7.635	32.2069	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB299	NZ_CP004876.1	CP004876	299.843	33.2407	223	-	-	-	268	45
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB2062	NZ_CP004878.1	CP004878	2.062	34.8206	3	-	-	-	3	-
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB46	NZ_CP004871.1	CP004871	46.634	35.4355	66	-	-	-	66	-
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB64	NZ_CP004872.1	CP004872	64.522	31.8651	69	-	-	-	72	3
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB95	NZ_CP004875.1	CP004875	95.983	31.4681	97	-	-	-	102	5
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB7635	NZ_CP004879.1	CP004879	7.635	32.2069	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB431	NZ_CP004877.1	CP004877	431.546	32.6549	317	-	1	-	342	24
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB65	NZ_CP004873.1	CP004873	65.873	34.7806	57	-	-	-	59	2
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB74	NZ_CP004874.1	CP004874	74.48	33.7044	75	-	-	-	79	4
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMBLin15	NZ_CP004882.1	CP004882	14.87	40.1076	21	-	-	-	21	-
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB8513	NZ_CP004881.1	CP004881	8.513	30.9174	8	-	-	-	9	1
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB8240	NZ_CP004880.1	CP004880	8.24	29.733	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. HD-1	Bacteria	Terrabacteria group	Firmicutes	pBMB14	NZ_CP004883.1	CP004883	14.721	31.0033	18	-	-	-	18	-
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pHT8_2	NC_020242.1	CP004075	8.241	29.7294	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pHT11	NC_020250.1	CP004073	11.769	31.8124	18	-	-	-	18	-
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pAW63	NC_020240.1	CP004072	71.777	33.7643	72	-	-	-	77	5
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pHT77	NC_020239.1	CP004071	76.49	30.7779	85	-	-	-	87	2
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pHT8_1	NC_020241.1	CP004074	8.513	30.7882	9	-	-	-	10	1
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pHT73	NC_020249.1	CP004070	77.351	34.6589	64	-	-	-	68	4
Bacillus thuringiensis serovar kurstaki str. HD73	Bacteria	Terrabacteria group	Firmicutes	pHT7	NC_020243.1	CP004076	7.635	32.2069	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB2062	NZ_CP004859.1	CP004859	2.062	34.8206	3	-	-	-	3	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB8513	NZ_CP004864.1	CP004864	8.513	30.7882	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB7921	NZ_CP004866.1	CP004866	7.921	32.3318	10	-	-	-	11	1
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB94	NZ_CP004868.1	CP004868	94.568	31.4483	91	-	-	-	96	5
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB67	NZ_CP004869.1	CP004869	67.159	32.4335	75	-	-	-	77	2
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB8240	NZ_CP004865.1	CP004865	8.24	29.733	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB7635	NZ_CP004867.1	CP004867	7.635	32.2069	9	-	-	-	9	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB53	NZ_CP004862.1	CP004862	53.838	34.4311	51	-	-	-	51	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB293	NZ_CP004861.1	CP004861	293.574	33.1702	242	-	-	-	263	21
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB11	NZ_CP004863.1	CP004863	11.769	31.7869	18	-	-	-	18	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB422	NZ_CP004860.1	CP004860	422.692	32.5802	314	-	1	-	335	20
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB2062	NZ_CP007608.1	CP007608	2.062	34.8206	-	-	-	-	-	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB293	NZ_CP007615.1	CP007615	293.574	33.1702	242	-	-	-	263	21
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB400	NZ_CP007616.1	CP007616	416.21	32.5232	312	-	1	-	331	18
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB95	NZ_CP007614.1	CP007614	94.637	31.4655	91	-	-	-	96	5
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB7921	NZ_CP007609.1	CP007609	7.921	32.3318	10	-	-	-	11	1
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB11	NZ_CP007612.1	CP007612	12.003	31.8337	17	-	-	-	18	1
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB8513	NZ_CP007611.1	CP007611	8.513	30.7882	10	-	-	-	10	-
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB69	NZ_CP007613.1	CP007613	69.416	34.3163	56	-	-	-	60	4
Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacteria	Terrabacteria group	Firmicutes	pBMB8240	NZ_CP007610.1	CP007610	8.24	29.733	9	-	-	-	9	-
Bacillus thuringiensis serovar morrisoni serovar morrisoni BGSC 4AA1	Bacteria	Terrabacteria group	Firmicutes	pBMB232	NZ_CP010578.1	CP010578	232.994	33.706	183	-	-	-	207	24
Bacillus thuringiensis serovar morrisoni serovar morrisoni BGSC 4AA1	Bacteria	Terrabacteria group	Firmicutes	pBMB48	NZ_CP010583.1	CP010583	4.845	41.5893	4	-	-	-	4	-
Bacillus thuringiensis serovar morrisoni serovar morrisoni BGSC 4AA1	Bacteria	Terrabacteria group	Firmicutes	pBMB51	NZ_CP010582.1	CP010582	51.723	29.2655	26	-	-	-	30	4
Bacillus thuringiensis serovar morrisoni serovar morrisoni BGSC 4AA1	Bacteria	Terrabacteria group	Firmicutes	pBMB68	NZ_CP010581.1	CP010581	68.444	32.2337	74	-	-	-	75	1
Bacillus thuringiensis serovar morrisoni serovar morrisoni BGSC 4AA1	Bacteria	Terrabacteria group	Firmicutes	pBMB92	NZ_CP010579.1	CP010579	92.619	34.4616	64	-	-	-	80	16
Bacillus thuringiensis serovar morrisoni serovar morrisoni BGSC 4AA1	Bacteria	Terrabacteria group	Firmicutes	pBMB76	NZ_CP010580.1	CP010580	76.979	30.3109	91	-	-	-	94	3
Bacillus thuringiensis serovar tenebrionis str. YBT-1765	Bacteria	Terrabacteria group	Firmicutes	pBMB165	NC_023074.1	CP002178	77.627	35.3202	93	-	-	-	93	-
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-68	NC_020382.1	CP004132	68.616	31.8133	79	-	-	-	82	3
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-39	NC_020381.1	CP004130	39.749	34.8512	43	-	-	-	44	1
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-6	NC_020390.1	CP004124	6.88	31.7587	7	-	-	-	7	-
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-63	NC_020392.1	CP004131	63.864	34.6831	55	-	-	-	56	1
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-328	NC_020385.1	CP004137	328.151	32.5914	262	-	-	-	274	12
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-107	NC_020393.1	CP004134	107.431	31.046	118	-	-	-	120	2
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-233	NC_020394.1	CP004135	233.73	32.713	162	-	-	-	175	13
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-8	NC_020377.1	CP004125	8.251	32.4203	10	-	-	-	10	-
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-9	NC_020378.1	CP004126	9.671	33.0369	5	-	-	-	7	2
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-15	NC_020379.1	CP004128	15.185	35.6536	13	-	-	-	13	-
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-16	NC_020380.1	CP004129	16.206	33.3395	11	-	-	-	14	3
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-11	NC_020391.1	CP004127	11.331	31.5771	17	-	-	-	18	1
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-285	NC_020384.1	CP004136	285.459	33.0223	240	-	-	-	259	19
Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria	Terrabacteria group	Firmicutes	pIS56-85	NC_020383.1	CP004133	85.134	33.2088	76	-	-	-	94	18
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK4	NZ_AP014868.1	AP014868	54.355	34.4918	51	-	-	-	51	-
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK3	NZ_AP014867.1	AP014867	130.548	32.8232	91	-	-	-	107	16
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK2	NZ_AP014866.1	AP014866	293.217	33.3797	247	-	-	-	264	17
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK5	NZ_AP014869.1	AP014869	23.773	33.0795	27	-	-	-	29	2
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK1	NZ_AP014865.1	AP014865	437.451	32.499	303	-	2	-	334	29
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK6	NZ_AP014870.1	AP014870	14.827	37.3778	20	-	-	-	20	-
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK8	NZ_AP014872.1	AP014872	7.812	32.4245	8	-	-	-	8	-
Bacillus thuringiensis serovar tolworthi	Bacteria	Terrabacteria group	Firmicutes	pKK7	NZ_AP014871.1	AP014871	11.769	31.7869	18	-	-	-	18	-
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pALH1	NC_008598.1	CP000486	55.939	36.1519	71	-	-	-	72	1
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pBTZ_5	NZ_CP009645.1	CP009645	4.92	33.0488	5	-	-	-	6	1
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pBTZ_3	NZ_CP009648.1	CP009648	11.903	32.4876	10	-	-	-	12	2
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pBTZ_1	NZ_CP009650.1	CP009650	273.588	33.4444	245	-	-	-	274	29
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pBTZ_6	NZ_CP009646.1	CP009646	4.602	33.7462	5	-	-	-	6	1
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pBTZ_2	NZ_CP009649.1	CP009649	140.953	33.9957	112	-	6	-	130	12
Bacillus thuringiensis str. Al Hakam	Bacteria	Terrabacteria group	Firmicutes	pBTZ_4	NZ_CP009647.1	CP009647	11.902	31.3057	11	-	-	-	12	1
Bacillus thuringiensis YBT-1518	Bacteria	Terrabacteria group	Firmicutes	pBMB0229	NC_022874.1	CP005936	45.206	36.5505	43	-	1	-	49	5
Bacillus thuringiensis YBT-1518	Bacteria	Terrabacteria group	Firmicutes	pBMB0231	NC_022876.1	CP005938	146.276	33.9044	141	-	-	-	161	20
Bacillus thuringiensis YBT-1518	Bacteria	Terrabacteria group	Firmicutes	pBMB0232	NC_022877.1	CP005939	171.593	33.8178	129	-	2	-	172	41
Bacillus thuringiensis YBT-1518	Bacteria	Terrabacteria group	Firmicutes	pBMB0228	NC_020124.1	CP002486	17.706	29.5154	15	-	-	-	16	1
Bacillus thuringiensis YBT-1518	Bacteria	Terrabacteria group	Firmicutes	pBMB0230	NC_022875.1	CP005937	49.195	33.6742	54	-	-	-	57	3
Bacillus thuringiensis YBT-1518	Bacteria	Terrabacteria group	Firmicutes	pBMB0233	NC_022882.1	CP005940	240.661	35.0156	197	-	1	-	251	53
Bacillus toyonensis BCT-7112 BCT-7112T	Bacteria	Terrabacteria group	Firmicutes	pBCT77	NC_022782.1	CP006864	76.974	32.9319	83	-	-	-	86	3
Bacillus toyonensis BCT-7112 BCT-7112T	Bacteria	Terrabacteria group	Firmicutes	pBCT8	NC_022783.1	CP006865	7.971	31.4013	9	-	-	-	10	1
Bacillus velezensis JS25R	Bacteria	Terrabacteria group	Firmicutes	pBMJS25R	NZ_CP009680.1	CP009680	8.438	40.3176	7	-	-	-	7	-
Bacillus velezensis B25	Bacteria	Terrabacteria group	Firmicutes	pBAMMD1	NZ_LN999830.1	LN999830	8.138	40.2556	6	-	-	-	7	1
Bacillus velezensis NAU-B3	Bacteria	Terrabacteria group	Firmicutes	II	NC_022531.1	HG514500	8.438	40.3176	7	-	-	-	7	-
Bacillus weihenstephanensis KBAB4	Bacteria	Terrabacteria group	Firmicutes	pBWB403	NC_010182.1	CP000906	64.977	43.36	82	-	-	-	82	-
Bacillus weihenstephanensis KBAB4	Bacteria	Terrabacteria group	Firmicutes	pBWB402	NC_010181.1	CP000905	75.107	33.3484	61	-	-	-	67	6
Bacillus weihenstephanensis KBAB4	Bacteria	Terrabacteria group	Firmicutes	pBWB404	NC_010183.1	CP000907	52.83	35.3701	60	-	-	-	60	-
Bacillus weihenstephanensis KBAB4	Bacteria	Terrabacteria group	Firmicutes	pBWB401	NC_010180.1	CP000904	417.054	33.6654	303	-	-	-	318	15
bacterium 36B	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	pTOR_02	NC_019783.1	JX843238	28.08	57.7849	34	-	-	-	34	-
bacterium 72B	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	pTOR_01	NC_019798.1	JX843237	20.914	58.0568	25	-	-	-	25	-
bacterium enrichment culture clone 1(2010)	Bacteria	environmental samples	bacterium enrichment culture clone 1(2010)	hyperthermophilic bacterial plasmid 1	NC_025030.1	GU722199	2.099	54.6927	6	-	-	-	6	-
bacterium enrichment culture clone 2a(2010)	Bacteria	environmental samples	bacterium enrichment culture clone 2a(2010)	hyperthermophilic bacterial plasmid 2a	NC_025031.1	GU722200	4.78	61.569	7	-	-	-	7	-
bacterium enrichment culture clone 2b(2010)	Bacteria	environmental samples	bacterium enrichment culture clone 2b(2010)	hyperthermophilic bacterial plasmid 2b	NC_025032.1	GU722201	5.37	60.1862	10	-	-	-	10	-
Bacteroides cellulosilyticus WH2	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBWH2B	NZ_ATFI01000025.1	ATFI01000025	4.148	45.8052	8	-	-	-	8	-
Bacteroides cellulosilyticus WH2	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBWH2A	NZ_ATFI01000024.1	ATFI01000024	2.751	41.6212	2	-	-	-	2	-
Bacteroides fragilis IB143	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBI143	NC_005026.1	U30316	2.747	41.245	2	-	-	-	2	-
Bacteroides fragilis P35	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBFP35	NC_011073.1	DQ859906	5.594	39.6139	8	-	-	-	8	-
Bacteroides fragilis GAI92082	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBFUK1	NC_019534.1	AB646744	12.817	46.3447	16	-	-	-	16	-
Bacteroides fragilis NCTC 9343	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBF9343	NC_006873.1	CR626928	36.56	32.2374	48	-	-	-	49	1
Bacteroides fragilis YCH46	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBFY46	NC_006297.1	AP006842	33.716	33.539	47	-	-	-	47	-
Bacteroides salanitronis DSM 18170	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBACSA03	NC_015166.1	CP002533	6.277	40.3377	8	-	-	-	8	-
Bacteroides salanitronis DSM 18170	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBACSA02	NC_015168.1	CP002532	19.28	43.2417	18	-	-	-	19	1
Bacteroides salanitronis DSM 18170	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pBACSA01	NC_015165.1	CP002531	40.303	32.3673	53	-	-	-	54	1
Bacteroides thetaiotaomicron VPI-5482	Bacteria	FCB group	Bacteroidetes/Chlorobi group	p5482	NC_004703.1	AY171301	33.038	47.2395	38	-	-	-	38	-
Bartonella grahamii	Bacteria	Proteobacteria	Alphaproteobacteria	pBGR2	NC_004308.1	AJ439506	2.723	40.5435	2	-	-	-	2	-
Bartonella grahamii	Bacteria	Proteobacteria	Alphaproteobacteria	pBGR1	NC_006374.1	AJ422079	2.725	40.5505	2	-	-	-	2	-
Bartonella grahamii as4aup	Bacteria	Proteobacteria	Alphaproteobacteria	pBGR3	NC_012847.1	CP001563	28.192	36.3827	31	-	-	-	31	-
Bartonella schoenbuchensis m07a	Bacteria	Proteobacteria	Alphaproteobacteria	pML	NZ_CM001845.1	CM001845	57.959	34.8988	82	-	-	-	85	3
Bartonella schoenbuchensis m07a	Bacteria	Proteobacteria	Alphaproteobacteria	pMS	NZ_CM001846.1	CM001846	3.369	40.4868	3	-	-	-	3	-
Bartonella sp. TT0105	Bacteria	Proteobacteria	Alphaproteobacteria	pTT0105	NC_019248.1	GU173851	28.653	36.6593	29	-	-	-	29	-
Bartonella tribocorum BM1374166	Bacteria	Proteobacteria	Alphaproteobacteria	II	NZ_HG969193.1	HG969193	21.776	34.7401	15	-	-	-	17	2
Bartonella tribocorum KM19-1	Bacteria	Proteobacteria	Alphaproteobacteria	pKM19s	NC_010615.1	EU595645	3.321	38.3921	3	-	-	-	3	-
Bartonella tribocorum CIP 105476 type strain:506 = CIP 105476	Bacteria	Proteobacteria	Alphaproteobacteria	pBT01	NC_010160.1	AM260524	23.343	35.0255	17	-	-	-	18	1
Beet leafhopper transmitted virescence phytoplasma	Bacteria	Terrabacteria group	Tenericutes	pBLTVA-2	NC_005914.1	AY423628	2.587	25.5895	2	-	-	-	2	-
Beet leafhopper transmitted virescence phytoplasma	Bacteria	Terrabacteria group	Tenericutes	pBLTVA-1	NC_005913.1	AY423627	10.785	24.7937	11	-	-	-	11	-
Beggiatoa leptomitiformis	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP012374.1	CP012374	6.185	51.7704	5	-	-	-	5	-
Beijerinckia indica subsp. indica ATCC 9039	Bacteria	Proteobacteria	Alphaproteobacteria	pBIND02	NC_010578.1	CP001018	66.727	54.3183	40	-	-	-	43	3
Beijerinckia indica subsp. indica ATCC 9039	Bacteria	Proteobacteria	Alphaproteobacteria	pBIND01	NC_010580.1	CP001017	181.736	56.1958	178	-	-	-	192	14
Bhargavaea cecembensis DMV9	Bacteria	Terrabacteria group	Firmicutes	pBSDMV9	NC_015509.1	HQ833018	5.108	37.0204	4	-	-	-	4	-
Bhargavaea cecembensis DMV46A	Bacteria	Terrabacteria group	Firmicutes	pBSDMV46A	NC_019270.1	JN980138	5.031	36.7521	4	-	-	-	4	-
Bibersteinia trehalosi	Bacteria	Proteobacteria	Gammaproteobacteria	pCCK13698	NC_007800.1	AM183225	14.969	45.3537	15	-	-	-	15	-
Bifidobacterium asteroides DSM 20089	Bacteria	Terrabacteria group	Actinobacteria	pCIBAO89	NC_010908.1	EU030683	2.111	52.3449	1	-	-	-	1	-
Bifidobacterium bifidum B80	Bacteria	Terrabacteria group	Actinobacteria	pB80	NC_011332.1	DQ305402	4.898	61.8824	3	-	-	-	3	-
Bifidobacterium breve B21a	Bacteria	Terrabacteria group	Actinobacteria	pB21a	NC_010930.1	DQ497626	5.206	56.262	5	-	-	-	5	-
Bifidobacterium breve NCFB 2258	Bacteria	Terrabacteria group	Actinobacteria	pCIBb1	NC_002133.1	AF085719	5.75	56.9043	3	-	-	-	3	-
Bifidobacterium breve BR3	Bacteria	Terrabacteria group	Actinobacteria	pBR3	NZ_CP010414.1	CP010414	4.891	61.9096	5	-	-	-	5	-
Bifidobacterium catenulatum L48	Bacteria	Terrabacteria group	Actinobacteria	pBC1	NC_007068.1	DQ011664	2.54	63.6614	3	-	-	-	3	-
Bifidobacterium kashiwanohense JCM 15439	Bacteria	Terrabacteria group	Actinobacteria	pBBKW-1	NC_021875.1	AB713428	7.716	64.8523	6	-	-	-	6	-
Bifidobacterium kashiwanohense JCM 15439	Bacteria	Terrabacteria group	Actinobacteria	pBBKW-2	NC_021876.1	AB713429	2.92	62.6027	6	-	-	-	6	-
Bifidobacterium longum VMKB44	Bacteria	Terrabacteria group	Actinobacteria	pB44	NC_004443.1	AY066026	3.624	65.1214	2	-	-	-	2	-
Bifidobacterium longum DPC6043	Bacteria	Terrabacteria group	Actinobacteria	p6043A	NC_010857.1	DQ458910	4.896	61.8464	3	-	-	-	3	-
Bifidobacterium longum KJ	Bacteria	Terrabacteria group	Actinobacteria	pKJ36	NC_002635.1	AF139129	3.625	65.131	3	-	-	-	3	-
Bifidobacterium longum RW048	Bacteria	Terrabacteria group	Actinobacteria	pNAC1	NC_004770.1	AY112724	3.538	58.7903	4	-	-	-	4	-
Bifidobacterium longum KJ	Bacteria	Terrabacteria group	Actinobacteria	pKJ50	NC_004978.1	U76614	4.96	61.8347	3	-	-	-	3	-
Bifidobacterium longum RW041	Bacteria	Terrabacteria group	Actinobacteria	PNAC2	NC_004769.1	AY112723	3.684	64.6851	3	-	-	-	3	-
Bifidobacterium longum RW041	Bacteria	Terrabacteria group	Actinobacteria	pNAC3	NC_004768.1	AY112722	10.224	62.0305	8	-	-	-	8	-
Bifidobacterium longum	Bacteria	Terrabacteria group	Actinobacteria	pMG1	NC_006997.1	AY210701	3.682	65.0733	2	-	-	-	2	-
Bifidobacterium longum	Bacteria	Terrabacteria group	Actinobacteria	pTB6	NC_006843.1	AB187597	3.624	65.0938	4	-	-	-	4	-
Bifidobacterium longum NAL8	Bacteria	Terrabacteria group	Actinobacteria	pNAL8M	NC_025161.1	AM183144	4.91	61.8737	7	-	-	-	7	-
Bifidobacterium longum FI10564	Bacteria	Terrabacteria group	Actinobacteria	pFI2576	NC_011139.1	DQ452864	2.197	61.9026	4	-	-	-	4	-
Bifidobacterium longum M62	Bacteria	Terrabacteria group	Actinobacteria	pSP02	NC_019200.1	GU256055	4.896	61.9281	4	-	-	-	4	-
Bifidobacterium longum DPC6043	Bacteria	Terrabacteria group	Actinobacteria	p6043B	NC_010861.1	DQ458911	3.68	65.1087	2	-	-	-	2	-
Bifidobacterium longum NAL8	Bacteria	Terrabacteria group	Actinobacteria	pNAL8L	NC_025162.1	AM183145	3.489	58.9567	5	-	-	-	5	-
Bifidobacterium longum BG7	Bacteria	Terrabacteria group	Actinobacteria	pRY68	NZ_CP010454.1	CP010454	2.638	66.3002	2	-	-	-	2	-
Bifidobacterium longum DJO10A	Bacteria	Terrabacteria group	Actinobacteria	pDOJH10L	NC_004252.1	AF538868	10.073	62.1761	9	-	-	-	10	1
Bifidobacterium longum DJO10A	Bacteria	Terrabacteria group	Actinobacteria	pDOJH10S	NC_004253.1	AF538869	3.661	66.1841	4	-	-	-	4	-
Bifidobacterium longum NCC2705	Bacteria	Terrabacteria group	Actinobacteria	pBLO1	NC_004943.1	AF540971	3.626	64.8097	2	-	-	-	2	-
Bifidobacterium longum subsp. infantis 157F	Bacteria	Terrabacteria group	Actinobacteria	p157F-NC1	NC_015053.1	AP010891	4.895	61.8999	5	-	-	-	5	-
Bifidobacterium longum subsp. infantis 157F	Bacteria	Terrabacteria group	Actinobacteria	p157F-NC2	NC_015066.1	AP010892	3.624	64.9558	3	-	-	-	3	-
Bifidobacterium longum subsp. longum KACC 91563	Bacteria	Terrabacteria group	Actinobacteria	BLNIAS_P1	NC_017220.1	CP002795	4.233	64.3751	1	-	-	-	3	2
Bifidobacterium longum subsp. longum KACC 91563	Bacteria	Terrabacteria group	Actinobacteria	BLNIAS_P2	NC_017222.1	CP002796	6.23	61.0594	2	-	-	-	5	3
Bifidobacterium pseudocatenulatum VMKB4M	Bacteria	Terrabacteria group	Actinobacteria	p4M	NC_003527.1	AF359574	4.488	53.0971	2	-	-	-	2	-
Bifidobacterium pseudolongum	Bacteria	Terrabacteria group	Actinobacteria	pASV479	NC_010877.1	DQ103758	4.815	59.2731	6	-	-	-	6	-
Bifidobacterium pseudolongum PV8-2	Bacteria	Terrabacteria group	Actinobacteria	pPV8-2.01	NZ_CP007458.1	CP007458	4.251	53.6109	5	-	-	-	5	-
Bifidobacterium sp. A24	Bacteria	Terrabacteria group	Actinobacteria	pBIFA24	NC_010164.1	DQ286581	4.892	61.7743	3	-	-	-	3	-
